League;Date;Get;Pay;Value;Confidence
Harbinger;2017-08-19;Chromatic Orb;Chaos Orb;0.08747;High
Harbinger;2017-08-20;Chromatic Orb;Chaos Orb;0.08673;High
Harbinger;2017-08-21;Chromatic Orb;Chaos Orb;0.08477;High
Harbinger;2017-08-22;Chromatic Orb;Chaos Orb;0.08248;High
Harbinger;2017-08-23;Chromatic Orb;Chaos Orb;0.08144;High
Harbinger;2017-08-24;Chromatic Orb;Chaos Orb;0.08037;High
Harbinger;2017-08-25;Chromatic Orb;Chaos Orb;0.08;High
Harbinger;2017-08-26;Chromatic Orb;Chaos Orb;0.08;High
Harbinger;2017-08-27;Chromatic Orb;Chaos Orb;0.0804;High
Harbinger;2017-08-28;Chromatic Orb;Chaos Orb;0.08046;High
Harbinger;2017-08-29;Chromatic Orb;Chaos Orb;0.08;High
Harbinger;2017-08-30;Chromatic Orb;Chaos Orb;0.07991;High
Harbinger;2017-08-31;Chromatic Orb;Chaos Orb;0.08;High
Harbinger;2017-09-01;Chromatic Orb;Chaos Orb;0.08;High
Harbinger;2017-09-02;Chromatic Orb;Chaos Orb;0.07948;High
Harbinger;2017-09-03;Chromatic Orb;Chaos Orb;0.07884;High
Harbinger;2017-09-04;Chromatic Orb;Chaos Orb;0.07925;High
Harbinger;2017-09-05;Chromatic Orb;Chaos Orb;0.08;High
Harbinger;2017-09-06;Chromatic Orb;Chaos Orb;0.08082;High
Harbinger;2017-09-07;Chromatic Orb;Chaos Orb;0.0821;High
Harbinger;2017-09-08;Chromatic Orb;Chaos Orb;0.08139;High
Harbinger;2017-09-09;Chromatic Orb;Chaos Orb;0.08022;High
Harbinger;2017-09-10;Chromatic Orb;Chaos Orb;0.08;High
Harbinger;2017-09-11;Chromatic Orb;Chaos Orb;0.08205;High
Harbinger;2017-09-12;Chromatic Orb;Chaos Orb;0.08768;High
Harbinger;2017-09-13;Chromatic Orb;Chaos Orb;0.09088;High
Harbinger;2017-09-14;Chromatic Orb;Chaos Orb;0.09091;High
Harbinger;2017-09-15;Chromatic Orb;Chaos Orb;0.09394;High
Harbinger;2017-09-16;Chromatic Orb;Chaos Orb;0.09471;High
Harbinger;2017-09-17;Chromatic Orb;Chaos Orb;0.09454;High
Harbinger;2017-09-18;Chromatic Orb;Chaos Orb;0.0952;High
Harbinger;2017-09-19;Chromatic Orb;Chaos Orb;0.09553;High
Harbinger;2017-09-20;Chromatic Orb;Chaos Orb;0.09662;High
Harbinger;2017-09-21;Chromatic Orb;Chaos Orb;0.09813;High
Harbinger;2017-09-22;Chromatic Orb;Chaos Orb;0.09778;High
Harbinger;2017-09-23;Chromatic Orb;Chaos Orb;0.09799;High
Harbinger;2017-09-24;Chromatic Orb;Chaos Orb;0.09865;High
Harbinger;2017-09-25;Chromatic Orb;Chaos Orb;0.09901;High
Harbinger;2017-09-26;Chromatic Orb;Chaos Orb;0.09927;High
Harbinger;2017-09-27;Chromatic Orb;Chaos Orb;0.09992;High
Harbinger;2017-09-28;Chromatic Orb;Chaos Orb;0.09988;High
Harbinger;2017-09-29;Chromatic Orb;Chaos Orb;0.09988;High
Harbinger;2017-09-30;Chromatic Orb;Chaos Orb;0.09955;High
Harbinger;2017-10-01;Chromatic Orb;Chaos Orb;0.1;High
Harbinger;2017-10-02;Chromatic Orb;Chaos Orb;0.10206;High
Harbinger;2017-10-03;Chromatic Orb;Chaos Orb;0.10563;High
Harbinger;2017-10-04;Chromatic Orb;Chaos Orb;0.10629;High
Harbinger;2017-10-05;Chromatic Orb;Chaos Orb;0.10514;High
Harbinger;2017-10-06;Chromatic Orb;Chaos Orb;0.10556;High
Harbinger;2017-10-07;Chromatic Orb;Chaos Orb;0.10495;High
Harbinger;2017-10-08;Chromatic Orb;Chaos Orb;0.10194;High
Harbinger;2017-10-09;Chromatic Orb;Chaos Orb;0.1;High
Harbinger;2017-10-10;Chromatic Orb;Chaos Orb;0.09895;High
Harbinger;2017-10-11;Chromatic Orb;Chaos Orb;0.09605;High
Harbinger;2017-10-12;Chromatic Orb;Chaos Orb;0.09545;High
Harbinger;2017-10-13;Chromatic Orb;Chaos Orb;0.09881;High
Harbinger;2017-10-14;Chromatic Orb;Chaos Orb;0.09994;High
Harbinger;2017-10-15;Chromatic Orb;Chaos Orb;0.09977;High
Harbinger;2017-10-16;Chromatic Orb;Chaos Orb;0.09984;High
Harbinger;2017-10-17;Chromatic Orb;Chaos Orb;0.09983;High
Harbinger;2017-10-18;Chromatic Orb;Chaos Orb;0.09903;High
Harbinger;2017-10-19;Chromatic Orb;Chaos Orb;0.09685;High
Harbinger;2017-10-20;Chromatic Orb;Chaos Orb;0.09763;High
Harbinger;2017-10-21;Chromatic Orb;Chaos Orb;0.09773;High
Harbinger;2017-10-22;Chromatic Orb;Chaos Orb;0.09653;High
Harbinger;2017-10-23;Chromatic Orb;Chaos Orb;0.09615;High
Harbinger;2017-10-24;Chromatic Orb;Chaos Orb;0.09552;High
Harbinger;2017-10-25;Chromatic Orb;Chaos Orb;0.09477;High
Harbinger;2017-10-26;Chromatic Orb;Chaos Orb;0.09077;High
Harbinger;2017-10-27;Chromatic Orb;Chaos Orb;0.08897;High
Harbinger;2017-10-28;Chromatic Orb;Chaos Orb;0.0872;High
Harbinger;2017-10-29;Chromatic Orb;Chaos Orb;0.08665;High
Harbinger;2017-10-30;Chromatic Orb;Chaos Orb;0.08595;High
Harbinger;2017-10-31;Chromatic Orb;Chaos Orb;0.08414;High
Harbinger;2017-11-01;Chromatic Orb;Chaos Orb;0.08366;High
Harbinger;2017-11-02;Chromatic Orb;Chaos Orb;0.08343;High
Harbinger;2017-11-03;Chromatic Orb;Chaos Orb;0.08332;High
Harbinger;2017-11-04;Chromatic Orb;Chaos Orb;0.08127;High
Harbinger;2017-11-05;Chromatic Orb;Chaos Orb;0.07794;High
Harbinger;2017-11-06;Chromatic Orb;Chaos Orb;0.07678;High
Harbinger;2017-11-07;Chromatic Orb;Chaos Orb;0.07661;High
Harbinger;2017-11-08;Chromatic Orb;Chaos Orb;0.0761;High
Harbinger;2017-11-09;Chromatic Orb;Chaos Orb;0.0753;High
Harbinger;2017-11-10;Chromatic Orb;Chaos Orb;0.07358;High
Harbinger;2017-11-11;Chromatic Orb;Chaos Orb;0.07205;High
Harbinger;2017-11-12;Chromatic Orb;Chaos Orb;0.07129;High
Harbinger;2017-11-13;Chromatic Orb;Chaos Orb;0.07044;High
Harbinger;2017-11-14;Chromatic Orb;Chaos Orb;0.06914;High
Harbinger;2017-11-15;Chromatic Orb;Chaos Orb;0.06929;High
Harbinger;2017-11-16;Chromatic Orb;Chaos Orb;0.06903;High
Harbinger;2017-11-17;Chromatic Orb;Chaos Orb;0.06879;High
Harbinger;2017-11-18;Chromatic Orb;Chaos Orb;0.06945;High
Harbinger;2017-11-19;Chromatic Orb;Chaos Orb;0.06883;High
Harbinger;2017-11-20;Chromatic Orb;Chaos Orb;0.07083;High
Harbinger;2017-11-21;Chromatic Orb;Chaos Orb;0.07914;High
Harbinger;2017-11-22;Chromatic Orb;Chaos Orb;0.08993;High
Harbinger;2017-11-23;Chromatic Orb;Chaos Orb;0.0923;High
